Date,Open,High,Low,Close,Adj Close,Volume
2018-01-24,62951.656250,67656.171875,61480.921875,67391.351563,67391.351563,251038141926
2018-01-25,67673.953125,70168.007813,65768.070313,67068.468750,67068.468750,257227571981
2018-01-26,66856.976563,68645.117188,63320.703125,67077.156250,67077.156250,229976560420
2018-01-27,67114.031250,71324.265625,66247.570313,70376.437500,70376.437500,190892446917
2018-01-28,70675.859375,79956.437500,70675.859375,79208.859375,79208.859375,341519017083
2018-01-29,79252.718750,79888.414063,74341.796875,75186.273438,75186.273438,236241933130
2018-01-30,75298.828125,75330.625000,67435.210938,68209.562500,68209.562500,261588522763
2018-01-31,68207.007813,71729.164063,65876.960938,71057.421875,71057.421875,238755366467
2018-02-01,71124.765625,74291.554688,62998.871094,66323.460938,66323.460938,336589677788
2018-02-02,66258.210938,66258.210938,48487.980469,58720.132813,58720.132813,430456170190
2018-02-03,58939.808594,63603.382813,54353.882813,61812.898438,61812.898438,207971941704
2018-02-04,61854.449219,62134.332031,51620.707031,53519.808594,53519.808594,192173413878
2018-02-05,53537.507813,54898.160156,41293.011719,44759.597656,44759.597656,273804966083
2018-02-06,45387.171875,51131.386719,36917.910156,50918.433594,50918.433594,418472930919
2018-02-07,50745.476563,54681.089844,46391.949219,48656.761719,48656.761719,250407486544
2018-02-08,48578.031250,54307.339844,48578.031250,52576.812500,52576.812500,238399532015
2018-02-09,52620.078125,56876.820313,50781.187500,56867.875000,56867.875000,160581060859
2018-02-10,56777.925781,59025.515625,53117.625000,55359.101563,55359.101563,188550303288
2018-02-11,55286.589844,55286.589844,50714.203125,52415.222656,52415.222656,159991068206
2018-02-12,52598.464844,56305.230469,52598.464844,55831.796875,55831.796875,144186538698
2018-02-13,55869.464844,55960.464844,53269.351563,54316.277344,54316.277344,133735987284
2018-02-14,54253.367188,59379.468750,54253.367188,59195.640625,59195.640625,180643428227
2018-02-15,59206.347656,60848.515625,58397.660156,59863.398438,59863.398438,185287395133
2018-02-16,59723.476563,60695.820313,58707.855469,60656.050781,60656.050781,152213466972
2018-02-17,60690.609375,62736.460938,60434.039063,62577.148438,62577.148438,162252256911
2018-02-18,62527.941406,63143.613281,58808.187500,59352.687500,59352.687500,164922716795
2018-02-19,59207.953125,61527.593750,59200.628906,60633.886719,60633.886719,139337838633
2018-02-20,60614.746094,62462.300781,57908.066406,58064.808594,58064.808594,165060113075
2018-02-21,57984.656250,59167.519531,53820.480469,55078.121094,55078.121094,164056098816
2018-02-22,55032.179688,56978.988281,52157.367188,52810.539063,52810.539063,139709542019
2018-02-23,52728.679688,57393.523438,51637.574219,55913.031250,55913.031250,151062860211
2018-02-24,55745.066406,56905.656250,52960.183594,54381.320313,54381.320313,124649723929
2018-02-25,54312.996094,55198.546875,53208.050781,54659.207031,54659.207031,106558312000
2018-02-26,54689.488281,57022.992188,54468.554688,56296.839844,56296.839844,132400524800
2018-02-27,56364.835938,58196.335938,56153.199219,57008.183594,57008.183594,133323843877
2018-02-28,56986.699219,57954.929688,55754.085938,55758.972656,55758.972656,128051498086
2018-03-01,55811.984375,57413.296875,55545.183594,56884.886719,56884.886719,121864870226
2018-03-02,56856.445313,57157.371094,55594.960938,55875.386719,55875.386719,123535126113
2018-03-03,55866.125000,56631.882813,55768.046875,55899.640625,55899.640625,110815916657
2018-03-04,55831.886719,56599.019531,54794.660156,56516.070313,56516.070313,110722665313
2018-03-05,56527.027344,56575.246094,55495.871094,55506.535156,55506.535156,123439818760
2018-03-06,55515.183594,55515.183594,52564.523438,53016.035156,53016.035156,126095524535
2018-03-07,52971.906250,53577.765625,47123.839844,48836.148438,48836.148438,141119489172
2018-03-08,48819.214844,50331.609375,45320.601563,45869.199219,45869.199219,123145768167
2018-03-09,45713.027344,47482.640625,42185.285156,47467.011719,47467.011719,145414256148
2018-03-10,47548.015625,48711.777344,44457.097656,44730.277344,44730.277344,99826355200
2018-03-11,44627.519531,47917.312500,43508.167969,47103.835938,47103.835938,101761725767
2018-03-12,47173.320313,48270.832031,44398.753906,45475.019531,45475.019531,114689695841
2018-03-13,45365.984375,46358.871094,44243.574219,44800.132813,44800.132813,92473501850
2018-03-14,44825.550781,45575.542969,38515.500000,39824.488281,39824.488281,117378604800
2018-03-15,39860.011719,40321.421875,37569.308594,39722.535156,39722.535156,115044492879
2018-03-16,39753.335938,40487.226563,38199.273438,39096.257813,39096.257813,92099404040
2018-03-17,39097.035156,39582.632813,35680.257813,35919.578125,35919.578125,82382296919
2018-03-18,35845.566406,35845.566406,29896.519531,35001.085938,35001.085938,174503783762
2018-03-19,35519.757813,36393.699219,33780.628906,36304.101563,36304.101563,133471176943
2018-03-20,36303.839844,36974.269531,33964.257813,36344.523438,36344.523438,119610946400
2018-03-21,36470.089844,38448.273438,35897.296875,36608.074219,36608.074219,116085366943
2018-03-22,36632.253906,37639.976563,34053.093750,35134.601563,35134.601563,99177243917
2018-03-23,35145.148438,35185.703125,33278.011719,35064.445313,35064.445313,103730819881
2018-03-24,35256.328125,35438.921875,34184.679688,34208.007813,34208.007813,84474648760
2018-03-25,33965.242188,34817.648438,33507.523438,34068.167969,34068.167969,74803029719
2018-03-26,34068.167969,34204.109375,30493.921875,31758.623047,31758.623047,106232201600
2018-03-27,31735.222656,31856.373047,29221.117188,29230.533203,29230.533203,105069021522
2018-03-28,29241.896484,30389.964844,28889.273438,29075.076172,29075.076172,98648824915
2018-03-29,29192.087891,29370.466797,25120.283203,25130.375000,25130.375000,128281676342
2018-03-30,25126.275391,26690.476563,24001.695313,25695.335938,25695.335938,122285047425
2018-03-31,25718.710938,27246.451172,25585.169922,25813.314453,25813.314453,86200431200
2018-04-01,25865.207031,26078.378906,23687.343750,24716.210938,24716.210938,81838715425
2018-04-02,24722.203125,25729.583984,24585.080078,25163.996094,25163.996094,71779169116
2018-04-03,25221.757813,27228.728516,24975.605469,27093.876953,27093.876953,88607361841
2018-04-04,27067.359375,27131.503906,24425.173828,24750.517578,24750.517578,83753962322
2018-04-05,24711.751953,25172.460938,24052.833984,24864.091797,24864.091797,78548922552
2018-04-06,24831.585938,24991.451172,23830.871094,24038.902344,24038.902344,62784520481
2018-04-07,24045.070313,25517.390625,24016.246094,25014.583984,25014.583984,61769757519
2018-04-08,25042.435547,26136.142578,25033.281250,26000.978516,26000.978516,61575840960
2018-04-09,26023.636719,27891.658203,25370.119141,25884.263672,25884.263672,96021431539
2018-04-10,25941.746094,27007.767578,25590.318359,26900.941406,26900.941406,77668240000
2018-04-11,26951.658203,28094.888672,26909.609375,28094.888672,28094.888672,93904555200
2018-04-12,28070.156250,32186.826172,27305.070313,32179.189453,32179.189453,164463820800
2018-04-13,32193.484375,34365.328125,31507.978516,32150.957031,32150.957031,157856057280
2018-04-14,32140.843750,33409.566406,31860.205078,32721.439453,32721.439453,99119965824
2018-04-15,32812.921875,34693.558594,32812.921875,34693.558594,34693.558594,112627371456
2018-04-16,34717.828125,34856.355469,32736.359375,33459.683594,33459.683594,115142828705
2018-04-17,33459.550781,34006.144531,33003.378906,33025.050781,33025.050781,115602836997
2018-04-18,33052.300781,34503.792969,33034.964844,34483.886719,34483.886719,115842789503
2018-04-19,34434.539063,37401.167969,34383.546875,37401.167969,37401.167969,148637450824
2018-04-20,37407.757813,40958.933594,36987.082031,40760.531250,40760.531250,188634910822
2018-04-21,40779.464844,41168.984375,38300.007813,40077.148438,40077.148438,172944854118
2018-04-22,40125.078125,42418.777344,39314.128906,41167.132813,41167.132813,160619070822
2018-04-23,41123.371094,42940.878906,41112.515625,42742.292969,42742.292969,158771936921
2018-04-24,42798.835938,47069.300781,42798.835938,47021.691406,47021.691406,237835510374
2018-04-25,46948.917969,46948.917969,40166.183594,41177.484375,41177.484375,282101929542
2018-04-26,41355.664063,44300.492188,40414.109375,44275.644531,44275.644531,199331866932
2018-04-27,44228.882813,45697.816406,43098.800781,43098.800781,43098.800781,173061433971
2018-04-28,42939.871094,46056.953125,42939.871094,45539.789063,45539.789063,166302520469
2018-04-29,45555.378906,46477.527344,44662.871094,45886.363281,45886.363281,182548693074
2018-04-30,45944.980469,46256.582031,44263.476563,44516.449219,44516.449219,189588497126
2018-05-01,44552.265625,45043.378906,42364.531250,44990.609375,44990.609375,178927746949
2018-05-02,45021.468750,45931.984375,44576.980469,45819.093750,45819.093750,188188960399
2018-05-03,45781.886719,52284.171875,45781.886719,51964.339844,51964.339844,280701254001
2018-05-04,51779.824219,53738.457031,50837.050781,52487.539063,52487.539063,236067125308
2018-05-05,52417.992188,55282.269531,52394.875000,54524.976563,54524.976563,202771022401
2018-05-06,54522.839844,55790.160156,51101.832031,52934.296875,52934.296875,207483134907
2018-05-07,53002.976563,53164.589844,47674.246094,50597.558594,50597.558594,289741139897
2018-05-08,50683.753906,51975.335938,48841.074219,50561.875000,50561.875000,196140107325
2018-05-09,50564.898438,51150.480469,48410.640625,50661.960938,50661.960938,193810160537
2018-05-10,50682.429688,51671.148438,48860.886719,48902.105469,48902.105469,184839399076
2018-05-11,48884.355469,49534.066406,45139.507813,45797.300781,45797.300781,221718491200
2018-05-12,45816.910156,46594.187500,43403.605469,46232.773438,46232.773438,179828867200
2018-05-13,46308.722656,49957.015625,45509.746094,49430.292969,49430.292969,159208881470
2018-05-14,49378.875000,50133.582031,46819.843750,49348.585938,49348.585938,202995181581
2018-05-15,49388.710938,50244.449219,47716.730469,48252.847656,48252.847656,171745371632
2018-05-16,48199.480469,48146.234375,46460.566406,47916.777344,47916.777344,167807333353
2018-05-17,48029.820313,48715.312500,45320.191406,45579.238281,45579.238281,159278004695
2018-05-18,45541.628906,47251.683594,44979.699219,47206.539063,47206.539063,156755736076
2018-05-19,47254.472656,48648.570313,46691.488281,47353.593750,47353.593750,137435073487
2018-05-20,47448.292969,49204.347656,47091.101563,48634.363281,48634.363281,146637531789
2018-05-21,48758.367188,48997.218750,47165.769531,47624.007813,47624.007813,136572131970
2018-05-22,47689.121094,47743.476563,43800.207031,44052.867188,44052.867188,151694257083
2018-05-23,43980.027344,44317.761719,39167.000000,39864.691406,39864.691406,204617815650
2018-05-24,39929.656250,41728.031250,38079.457031,41075.796875,41075.796875,190520479447
2018-05-25,41102.078125,42115.226563,38987.015625,39739.496094,39739.496094,142972607265
2018-05-26,39786.363281,41056.230469,39521.269531,39776.476563,39776.476563,114754941167
2018-05-27,39860.460938,39982.914063,38122.917969,38786.804688,38786.804688,121154747783
2018-05-28,38812.335938,38783.941406,34543.441406,34778.246094,34778.246094,158843281970
2018-05-29,34785.796875,38816.664063,34785.796875,38350.269531,38350.269531,158099527112
2018-05-30,38448.078125,39554.113281,36794.777344,37733.156250,37733.156250,138499200337
2018-05-31,37659.453125,39468.191406,37562.957031,38944.828125,38944.828125,133831396800
2018-06-01,39014.066406,39582.632813,38027.875000,38857.082031,38857.082031,130355174315
2018-06-02,38882.941406,39998.191406,38674.800781,39645.218750,39645.218750,125967327172
2018-06-03,39608.437500,41836.125000,39608.437500,41421.859375,41421.859375,122762525572
2018-06-04,41496.085938,41763.511719,39140.238281,39765.574219,39765.574219,127644016873
2018-06-05,39793.808594,41029.414063,39028.917969,40878.136719,40878.136719,123732071080
2018-06-06,40942.480469,40900.566406,39881.000000,40574.097656,40574.097656,117388903108
2018-06-07,40611.722656,41176.902344,40560.125000,40795.656250,40795.656250,126740239558
2018-06-08,40812.914063,41039.949219,40232.308594,40584.722656,40584.722656,110582903439
2018-06-09,40573.109375,41091.523438,40347.386719,40347.386719,40347.386719,102583807959
2018-06-10,40130.171875,40130.171875,34562.746094,35547.863281,35547.863281,150899097600
2018-06-11,35438.343750,36162.753906,34762.621094,35978.003906,35978.003906,133723721483
2018-06-12,35939.281250,36330.957031,33146.082031,33524.480469,33524.480469,130412985319
2018-06-13,33603.765625,33866.039063,31028.669922,32297.693359,32297.693359,140699996447
2018-06-14,32357.691406,35433.523438,31607.712891,35176.140625,35176.140625,166401439580
2018-06-15,35226.085938,35281.921875,33174.703125,33415.277344,33415.277344,123061811584
2018-06-16,33375.125000,34246.839844,33268.753906,34003.136719,34003.136719,89431752783
2018-06-17,33990.750000,34547.507813,33935.492188,34057.988281,34057.988281,86080728939
2018-06-18,33985.511719,35531.699219,33623.664063,35300.152344,35300.152344,102988572835
2018-06-19,35309.136719,37056.269531,35115.671875,36745.152344,36745.152344,117933362757
2018-06-20,36782.652344,36818.777344,35392.402344,36493.039063,36493.039063,108627537766
2018-06-21,36505.218750,36999.941406,35618.156250,35829.312500,35829.312500,99333036887
2018-06-22,35817.558594,35817.558594,31003.673828,31610.339844,31610.339844,151058401229
2018-06-23,31641.353516,32513.693359,31377.990234,32200.925781,32200.925781,112062644628
2018-06-24,32217.757813,32257.863281,28940.185547,31057.621094,31057.621094,169010756628
2018-06-25,30939.816406,32013.964844,30462.082031,31351.714844,31351.714844,272981479950
2018-06-26,31380.525391,31413.218750,29584.294922,29584.294922,29584.294922,92734441600
2018-06-27,29548.199219,30488.398438,29124.835938,30359.509766,30359.509766,93950354396
2018-06-28,30354.363281,30445.503906,28886.781250,29071.382813,29071.382813,93663176801
2018-06-29,29086.664063,30240.730469,27946.408203,29844.816406,29844.816406,107090022810
2018-06-30,29858.507813,31404.654297,29858.507813,31157.070313,31157.070313,101028090810
2018-07-01,31161.314453,31291.166016,30555.054688,31070.687500,31070.687500,103477921786
2018-07-02,31064.253906,32935.398438,30693.052734,32661.091797,32661.091797,111708027602
2018-07-03,32663.771484,33354.476563,31707.683594,31818.246094,31818.246094,115425665106
2018-07-04,31815.230469,33091.503906,31200.656250,32097.736328,32097.736328,106445951351
2018-07-05,32095.607422,33301.453125,31913.042969,32672.753906,32672.753906,125936374006
2018-07-06,32668.966797,33000.058594,31545.689453,32612.025391,32612.025391,111979566899
2018-07-07,32615.121094,33826.207031,32118.316406,33826.207031,33826.207031,93455172403
2018-07-08,33854.277344,34620.089844,33603.089844,33651.386719,33651.386719,92505728000
2018-07-09,33634.804688,33770.617188,32625.515625,32728.986328,32728.986328,105310703606
2018-07-10,32693.281250,32841.312500,29834.750000,29866.650391,29866.650391,122998559200
2018-07-11,29872.908203,30759.685547,29554.375000,30686.949219,30686.949219,97759251850
2018-07-12,30685.851563,30685.851563,28954.029297,29451.468750,29451.468750,102407731200
2018-07-13,29497.142578,30325.089844,29497.142578,29726.509766,29726.509766,102027499396
2018-07-14,29759.658203,30096.833984,29551.654297,29867.529297,29867.529297,84641313992
2018-07-15,29853.626953,31094.529297,29719.248047,30810.226563,30810.226563,92472458400
2018-07-16,30849.607422,32944.296875,30601.195313,32944.296875,32944.296875,127393931587
2018-07-17,32904.476563,34810.726563,32083.164063,34278.558594,34278.558594,156551808568
2018-07-18,34267.335938,35129.085938,32550.515625,32972.800781,32972.800781,162736442809
2018-07-19,32980.691406,33391.882813,32099.449219,32408.406250,32408.406250,142763745191
2018-07-20,32386.876953,32386.876953,30495.019531,30976.472656,30976.472656,125181386600
2018-07-21,30975.166016,32171.345703,30638.183594,31783.226563,31783.226563,103391227400
2018-07-22,31783.363281,32364.820313,31486.517578,31592.226563,31592.226563,92001287401
2018-07-23,31577.242188,32288.191406,30959.275391,31036.720703,31036.720703,109937475594
2018-07-24,31056.201172,33171.132813,31016.894531,33049.171875,33049.171875,157707347600
2018-07-25,33085.917969,33228.562500,32058.425781,32472.082031,32472.082031,132692857699
2018-07-26,32460.947266,33215.406250,31679.066406,31858.458984,31858.458984,111328206194
2018-07-27,31856.537109,32463.027344,31445.636719,32219.085938,32219.085938,118970233805
2018-07-28,32219.912109,32351.347656,31761.046875,32029.203125,32029.203125,105087657293
2018-07-29,32030.369141,32266.419922,31742.042969,32013.218750,32013.218750,111949027098
2018-07-30,32024.332031,32101.507813,30776.773438,31355.755859,31355.755859,146913074000
2018-07-31,31367.007813,31367.007813,29463.892578,29698.195313,29698.195313,124625546000
2018-08-01,29698.333984,29807.031250,28051.109375,28753.849609,28753.849609,129030020400
2018-08-02,28757.882813,29046.824219,28155.404297,28314.052734,28314.052734,107685366000
2018-08-03,28310.347656,28824.427734,27469.818359,28667.677734,28667.677734,118049183600
2018-08-04,28665.964844,28799.548828,27674.806641,27913.052734,27913.052734,100516651600
2018-08-05,27919.494141,28356.093750,27582.689453,28136.767578,28136.767578,95738042800
2018-08-06,28140.261719,28412.572266,27752.105469,27982.136719,27982.136719,95293592800
2018-08-07,27991.976563,28266.609375,25806.404297,26090.353516,26090.353516,125461377000
2018-08-08,26068.189453,26121.644531,24283.839844,24481.482422,24481.482422,138403892000
2018-08-09,24506.058594,25502.537109,24291.513672,25134.175781,25134.175781,111141937500
2018-08-10,25147.099609,25234.343750,22703.531250,23019.712891,23019.712891,117063169000
2018-08-11,23025.775391,23025.775391,21250.195313,22188.685547,22188.685547,123329637450
2018-08-12,22099.892578,22634.921875,21946.898438,22013.580078,22013.580078,111967056700
2018-08-13,22057.666016,22587.095703,19949.654297,20058.947266,20058.947266,122609567850
2018-08-14,20049.845703,20049.845703,17812.767578,19511.292969,19511.292969,149542607500
2018-08-15,19613.070313,21225.494141,19594.324219,19741.478516,19741.478516,131310857250
2018-08-16,19767.837891,20950.031250,19641.082031,20186.263672,20186.263672,108832137600
2018-08-17,20160.824219,22160.355469,20137.207031,22129.445313,22129.445313,139861791400
2018-08-18,22203.880859,22460.060547,20084.359375,20733.462891,20733.462891,123640161800
2018-08-19,20723.509766,21524.498047,20419.458984,21085.455078,21085.455078,101484011900
2018-08-20,21123.794922,21333.433594,19093.802734,19149.929688,19149.929688,98696679900
2018-08-21,19081.236328,19931.394531,19081.236328,19693.789063,19693.789063,81313782000
2018-08-22,19695.464844,20779.396484,18512.759766,18955.882813,18955.882813,105325127600
2018-08-23,18984.314453,19593.378906,19007.474609,19424.990234,19424.990234,89108316000
2018-08-24,19495.582031,19819.808594,19159.246094,19796.371094,19796.371094,101453893200
2018-08-25,19818.337891,19834.708984,19481.832031,19564.033203,19564.033203,84536865600
2018-08-26,19555.568359,19555.568359,19060.181641,19252.781250,19252.781250,84417234000
2018-08-27,19263.486328,20037.906250,19098.716797,20037.906250,20037.906250,98700386400
2018-08-28,20111.292969,20844.765625,19895.412109,20781.615234,20781.615234,106070701500
2018-08-29,20758.064453,20821.707031,20262.351563,20405.175781,20405.175781,103993663800
2018-08-30,20436.279297,20541.369141,19468.425781,20097.587891,20097.587891,107036694000
2018-08-31,20098.648438,20129.138672,19774.423828,20093.283203,20093.283203,100245610000
2018-09-01,20128.216797,21381.224609,20128.216797,20969.210938,20969.210938,109810730000
2018-09-02,20977.162109,21206.705078,20655.746094,20900.341797,20900.341797,93794550000
2018-09-03,20957.851563,20986.960938,20424.917969,20598.132813,20598.132813,99301632900
2018-09-04,20600.839844,20763.412109,20346.972656,20452.052734,20452.052734,111297594600
2018-09-05,20475.101563,20626.707031,16669.750000,16669.750000,16669.750000,171510482500
2018-09-06,16620.744141,16628.421875,15650.325195,16561.667969,16561.667969,150880481400
